building_name,detail_url,district,rent,thumbnailurl,page,agent_url,created_at,last_crawl,updated_at,num_flats,floor,estate,num_blocks,saleable_area,address,tel_qrcode,bedroom,bathroom,is_studio,estate_age,posted_days_age,has_view,has_open_view,has_sea_view,has_other_view,is_renovated,is_luxury_renovated,is_single_building,isin_school_network,has_clubhouse,is_appliances_included,is_mall_nearby,has_balcony
環海‧東岸,https://www.28hse.com/rent/residential/property-1677362,紅磡,12800.0,https://i1.28hse.com/2021/04/202104161306058938821_thumb.jpg,1,,2021-04-16,1618628462.720731,2021-04-16,1008.0,high,環海‧東岸九龍 紅磡屋苑樓齡: 3 年顯示環海‧東岸屋苑的更多資料,3.0,220.0,祟安街23號https://i1.28hse.com/2021/04/20210416010752kJB7aMKEE8C8_desktop.jpg ,/assets/img/image.png,0.0,1.0,True,3.0,17.0,True,False,False,True,True,True,False,False,False,False,False,False
unknown,https://www.28hse.com/rent/residential/property-1613884,紅磡,8000.0,https://i1.28hse.com/2021/03/202103291742418244677_thumb.jpg,1,,2021-04-07,1618628466.964801,2021-04-07,1008.0,mid,新柳街3號3 San Lau Street九龍 紅磡座數及單位: 7新屋苑,1.0,150.0,新柳街3號,/assets/img/image.png,0.0,1.0,True,18.0,10.0,False,False,False,False,True,True,True,False,False,False,False,False
海逸豪園,https://www.28hse.com/rent/residential/property-1658401,紅磡,38000.0,https://i1.28hse.com/2021/04/20210403110853194866_thumb.jpg,1,https://www.28hse.com/agent/1679,2021-04-03,1618628476.4558625,2021-04-13,4735.0,mid,海逸豪園 海逸灣九龍 紅磡屋苑樓齡: 23 年顯示海逸豪園屋苑的更多資料,25.0,1232.0,海逸道8號https://i1.28hse.com/2021/04/202104031108475DQyzv372r7G_desktop.jpg ,/assets/img/image.png,4.0,1.0,False,23.0,14.0,True,True,False,True,True,True,False,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1610367,紅磡,17000.0,https://i1.28hse.com/2021/04/20210401202944873927_thumb.jpg,1,https://www.28hse.com/agent/1679,2021-04-03,1618628479.4630346,2021-04-13,669.0,low,半島豪庭九龍 紅磡屋苑樓齡: 21 年顯示半島豪庭屋苑的更多資料,5.0,492.0,紅荔道8號https://i1.28hse.com/2021/03/20210316112114Ah11PagrzkNn_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,21.0,14.0,True,False,False,True,True,False,False,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1656737,紅磡,23800.0,https://i1.28hse.com/2021/04/202104021149467362203_thumb.jpg,1,https://www.28hse.com/agent/749,2021-04-02,1618628482.719193,2021-04-02,669.0,unknown,半島豪庭九龍 紅磡屋苑樓齡: 20 年顯示半島豪庭屋苑的更多資料,5.0,561.0,紅荔道8號https://i1.28hse.com/2021/04/20210402115027R7s1NsNxpdNA_desktop.jpg ,/assets/img/image.png,0.0,1.0,False,20.0,15.0,False,False,False,False,False,False,False,False,False,True,False,False
海逸豪園,https://www.28hse.com/rent/residential/property-1656353,紅磡,20000.0,https://i1.28hse.com/2021/04/202104012042094524890_thumb.jpg,1,https://www.28hse.com/agent/1679,2021-04-01,1618628486.0345385,2021-04-01,4735.0,high,海逸豪園九龍 紅磡屋苑樓齡: 20 年顯示海逸豪園屋苑的更多資料,25.0,556.0,海逸道8號https://i1.28hse.com/2021/04/20210401084206NxESpHgBhdMT_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,20.0,16.0,True,False,True,True,False,False,False,False,False,True,False,False
unknown,https://www.28hse.com/rent/residential/property-1650612,紅磡,14250.0,https://i1.28hse.com/2021/03/202103291551511976581_thumb.jpg,1,https://www.28hse.com/agent/3551,2021-03-29,1618628488.7103515,2021-03-29,1008.0,unknown,高山18ALPINE 18九龍 紅磡座數及單位: 5A新屋苑,1.0,343.0,高山道18-24號https://i1.28hse.com/2021/03/20210329035254rzebcLDKmkyu_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,18.0,19.0,False,False,False,False,False,False,True,False,False,False,False,False
維港‧星岸,https://www.28hse.com/rent/residential/property-1646130,紅磡,48000.0,https://i1.28hse.com/2021/03/202103261323596080200_thumb.jpg,1,https://www.28hse.com/agent/1925,2021-03-26,1618628494.4844625,2021-04-11,321.0,high,維港‧星岸九龍 紅磡座數及單位: 2屋苑樓齡: 5 年顯示維港‧星岸屋苑的更多資料,4.0,1088.0,紅鷥道7號https://i1.28hse.com/2021/03/20210326012427g5knsssxn5c4_desktop.jpg ,/assets/img/image.png,4.0,2.0,False,5.0,22.0,True,False,True,False,False,False,False,False,False,False,False,False
漆馬大廈,https://www.28hse.com/rent/residential/property-1543367,紅磡,7900.0,https://i1.28hse.com/2021/02/202102010624527654479_thumb.jpg,1,,2021-03-25,1618628497.7278955,2021-03-25,1008.0,mid,漆馬大廈九龍 紅磡,1.0,213.0,馬頭圍道210號https://i1.28hse.com/2021/03/20210317123452gBrf59BSFBez_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,18.0,23.0,False,False,False,False,False,False,False,False,False,False,False,False
維港‧星岸,https://www.28hse.com/rent/residential/property-1643057,紅磡,49800.0,https://i1.28hse.com/2021/03/202103241521515080311_thumb.jpg,1,https://www.28hse.com/agent/796,2021-03-24,1618628503.388169,2021-03-24,321.0,high,維港‧星岸九龍 紅磡座數及單位: 1屋苑樓齡: 5 年顯示維港‧星岸屋苑的更多資料,4.0,1096.0,紅鷥道7號https://i1.28hse.com/2021/03/20210324032639t6u2zyJMGKcy_desktop.jpg ,/assets/img/image.png,4.0,2.0,False,5.0,24.0,True,False,True,True,False,False,False,False,False,False,False,False
